allspice, basil, bay leaf, caper, cardamom, cayenne pepper, chives, cilantro, cinnamon, coriander, cumin, dill, fennel, garlic, ginger, anise, black pepper, horseradish, nutmeg, onion powder, oregano, paprika, parsley, rosemary, red pepper flakes, saffron, sage, salt, tarragon, thyme, turmeric, wasabi
13340, 237, 573, 40, 642, 807, 110, 511, 7815, 854, 1368, 243, 180, 3913, 3509, 226, 3066, 82, 3967, 317, 594, 902, 1113, 223, 341, 81, 512, 9470, 47, 1467, 295, 4
237, 57060, 1669, 1562, 95, 1816, 1729, 2260, 586, 861, 1546, 1123, 1276, 37115, 1910, 231, 17001, 153, 973, 1430, 13566, 2161, 12836, 2811, 4137, 257, 4141, 38029, 1211, 6919, 340, 26
573, 1669, 15701, 203, 286, 939, 467, 759, 980, 774, 1435, 403, 600, 10364, 810, 164, 5636, 124, 677, 251, 2004, 1252, 5192, 1179, 730, 416, 1482, 12621, 329, 5977, 419, 3
40, 1562, 203, 8866, 12, 277, 518, 259, 87, 122, 234, 736, 304, 4743, 60, 13, 3200, 183, 70, 74, 1108, 405, 3707, 356, 636, 68, 225, 6218, 404, 743, 18, 13
642, 95, 286, 12, 7739, 448, 36, 610, 3971, 1785, 1852, 56, 400, 2245, 2972, 381, 1611, 8, 1176, 54, 58, 431, 252, 55, 143, 535, 56, 4621, 23, 121, 1292, 4
807, 1816, 939, 277, 448, 28845, 951, 3093, 2083, 2297, 6671, 691, 467, 17512, 2915, 93, 10955, 410, 1167, 3301, 4252, 6725, 4404, 721, 935, 290, 1820, 22435, 415, 4225, 1364, 46
110, 1729, 467, 518, 36, 951, 19391, 815, 210, 319, 447, 1453, 351, 7340, 940, 68, 6165, 482, 586, 453, 791, 1119, 5364, 606, 393, 131, 700, 14312, 1621, 2263, 133, 86
511, 2260, 759, 259, 610, 3093, 815, 47275, 2165, 4259, 13287, 564, 484, 27731, 8420, 312, 11226, 136, 345, 731, 3661, 2723, 4401, 217, 2085, 499, 1009, 32146, 214, 1224, 2362, 132
7815, 586, 980, 87, 3971, 2083, 210, 2165, 89249, 3469, 5453, 215, 706, 8774, 15584, 1471, 6108, 54, 21667, 425, 1311, 1960, 2106, 420, 671, 755, 675, 52433, 64, 1330, 2303, 11
854, 861, 774, 122, 1785, 2297, 319, 4259, 3469, 20925, 10296, 445, 1275, 13262, 6812, 479, 6133, 75, 820, 455, 1498, 2614, 2383, 345, 946, 469, 485, 15097, 152, 1104, 4353, 47
1368, 1546, 1435, 234, 1852, 6671, 447, 13287, 5453, 10296, 47014, 644, 1152, 32479, 6752, 275, 13475, 110, 1000, 1943, 8401, 7661, 4902, 506, 2288, 663, 1521, 35023, 117, 2219, 5327, 25
243, 1123, 403, 736, 56, 691, 1453, 564, 215, 445, 644, 19931, 397, 7243, 283, 52, 5338, 602, 308, 586, 897, 1280, 4483, 356, 337, 69, 349, 13588, 667, 961, 210, 30
